"species","longitude","latitude"
"Proceratophrys_brauni",-51.36666667,-26.36666667
"Proceratophrys_brauni",-51.96666667,-25.63333333
"Proceratophrys_brauni",-49.8,-26.08333333
"Proceratophrys_brauni",-50.56666667,-25.38333333
"Proceratophrys_brauni",-51.63333333,-26.51666667
"Proceratophrys_brauni",-51.6167,-26.5167
"Proceratophrys_brauni",-51.9833,-25.6
"Proceratophrys_brauni",-51.616732,-26.516705
"Proceratophrys_brauni",-51.9,-26.78333333
"Proceratophrys_brauni",-50.66666667,-26.85361111
"Proceratophrys_brauni",-49.64138889,-28.13638889
"Proceratophrys_brauni",-50.16666667,-29.5
"Proceratophrys_brauni",-51.19,-27.58
"Proceratophrys_brauni",-50.1993,-29.48125
"Proceratophrys_brauni",-50.015861,-25.237139
"Proceratophrys_brauni",-54.116389,-25.383056
"Proceratophrys_brauni",-51.97675,-25.6773
"Proceratophrys_brauni",-51.7328,-26.66451
"Proceratophrys_brauni",-51.225,-27.4017
"Proceratophrys_brauni",-50.96621,-24.23823
"Proceratophrys_brauni",-50.29217,-29.40606
"Proceratophrys_brauni",-50.17389,-29.48194
"Proceratophrys_brauni",-50.17361,-29.48
"Proceratophrys_brauni",-50.16324,-25.68918
"Proceratophrys_brauni",-49.80472,-26.08363
"Proceratophrys_brauni",-49.29553,-25.65774
